10:441,34 
29:347,28
84:200,11
90:193,27
128:155,26
184:120,77
202:115,47
220:104,86
225:102 
230:100,46
243:92,13 
279:79,45 
303:73,86
305:73,46 
339:65,68
347:64,58
357:61,49
399:54,29
437:49 
481:43,22
529:38,12 
536:37,27
542:36,48 
555:35,21 
618:29,05
681:25,14
704:23,87
713:22,92 
729:21,86 
734:21,62
755:20,55
760:20,32 
776:19,4 
820:17,11 
825:16,98
894:14,22 
953:11,87 
969:11,4
999:10,55
1020:9,92 
1027:9,82 
1212:5,43 
1290:4,08 
1358:3,36
1423:2,78 
1439:2,61 
1469:2,24 
1496:2,05 
1564:1,54
1634:1,2 
1667:1,05 
1681:1 
1721:0,78
