1:782
2:555
3:539
4:528
5:502
6:498
7:484
8:482
9:481
10:473
15:419
21:389
30:347
41:291
50:267
61:241
81:208
100:187
121:169
141:148
161:137
181:126
200:118
221:106
241:94
261:88
281:82
300:77
321:72
341:67
361:65
381:61
400:55
441:49.68
481:44.7
501:42.23
541:37.15
581:32.48
601:30.96
641:28.49
681:25.7
701:24.68
741:21.93
781:19.71
801:18.45
861:15.73
921:13.22
981:11.30
1001:10.65
1101:7.95
1201:5.72
1301:4.05
1401:2.97
1501:2
1601:1.33
1701:0.88
1794:0.2
